Date,predicted_mean
2024-12-01,6820.487653817036
2024-12-02,6815.209772164886
2024-12-03,6815.236882986735
2024-12-04,6815.23674372695
2024-12-05,6815.236744442284
2024-12-06,6815.23674443861
2024-12-07,6815.236744438629
2024-12-08,6815.236744438629
2024-12-09,6815.236744438629
2024-12-10,6815.236744438629
2024-12-11,6815.236744438629
2024-12-12,6815.236744438629
2024-12-13,6815.236744438629
2024-12-14,6815.236744438629
2024-12-15,6815.236744438629
2024-12-16,6815.236744438629
2024-12-17,6815.236744438629
2024-12-18,6815.236744438629
2024-12-19,6815.236744438629
2024-12-20,6815.236744438629
2024-12-21,6815.236744438629
2024-12-22,6815.236744438629
2024-12-23,6815.236744438629
2024-12-24,6815.236744438629
2024-12-25,6815.236744438629
2024-12-26,6815.236744438629
2024-12-27,6815.236744438629
2024-12-28,6815.236744438629
2024-12-29,6815.236744438629
2024-12-30,6815.236744438629
